Algoritmo,Dimensao,Tempo
Quick1,50000,13
Quick2,50000,14
Merge,50000,33
Shell,50000,1713
Insertion,50000,10476
Bubble,50000,22921
QuickIn,50000,16
Quick1,50000,12
Quick2,50000,14
Merge,50000,33
Shell,50000,1697
Insertion,50000,10510
Bubble,50000,22893
QuickIn,50000,16
Quick1,50000,12
Quick2,50000,17
Merge,50000,35
Shell,50000,1736
Insertion,50000,10505
Bubble,50000,22817
QuickIn,50000,17
Quick1,50000,13
Quick2,50000,14
Merge,50000,33
Shell,50000,1694
Insertion,50000,10533
Bubble,50000,22809
QuickIn,50000,16
Quick1,50000,13
Quick2,50000,14
Merge,50000,33
Shell,50000,1695
Insertion,50000,10448
Bubble,50000,22761
QuickIn,50000,19
Quick1,50000,14
Quick2,50000,14
Merge,50000,36
Shell,50000,1710
Insertion,50000,10492
Bubble,50000,22839
QuickIn,50000,17
Quick1,50000,13
Quick2,50000,13
Merge,50000,33
Shell,50000,1691
Insertion,50000,10482
Bubble,50000,22761
QuickIn,50000,16
Quick1,50000,13
Quick2,50000,17
Merge,50000,33
Shell,50000,1721
Insertion,50000,10425
Bubble,50000,22916
QuickIn,50000,16
Quick1,50000,13
Quick2,50000,14
Merge,50000,33
Shell,50000,1684
Insertion,50000,10647
Bubble,50000,22838
QuickIn,50000,17
Quick1,50000,13
Quick2,50000,14
Merge,50000,34
Shell,50000,1755
Insertion,50000,10588
Bubble,50000,22898
QuickIn,50000,16
Quick1,50000,13
Quick2,50000,15
Merge,50000,33
Shell,50000,1685
Insertion,50000,10570
Bubble,50000,22852
QuickIn,50000,16
Quick1,50000,12
Quick2,50000,13
Merge,50000,33
Shell,50000,1716
Insertion,50000,10559
Bubble,50000,24986
QuickIn,50000,17
Quick1,50000,14
Quick2,50000,14
Merge,50000,33
Shell,50000,1731
Insertion,50000,10549
Bubble,50000,22874
QuickIn,50000,17
Quick1,50000,15
Quick2,50000,14
Merge,50000,35
Shell,50000,1725
Insertion,50000,10552
Bubble,50000,23036
QuickIn,100000,35
Quick1,100000,27
Quick2,100000,31
Merge,100000,69
Shell,100000,7312
Insertion,100000,42283
Bubble,100000,80482
QuickIn,100000,36
Quick1,100000,30
Quick2,100000,30
Merge,100000,76
Shell,100000,7215
Insertion,100000,42665
Bubble,100000,80320
QuickIn,100000,35
Quick1,100000,28
Quick2,100000,32
Merge,100000,73
Shell,100000,7301
Insertion,100000,42440
Bubble,100000,80222
QuickIn,100000,33
Quick1,100000,29
Quick2,100000,28
Merge,100000,71
Shell,100000,7369
Insertion,100000,42363
Bubble,100000,80178
QuickIn,100000,33
Quick1,100000,26
Quick2,100000,28
Merge,100000,70
Shell,100000,7237
Insertion,100000,42061
Bubble,100000,80013
QuickIn,100000,33
Quick1,100000,28
Quick2,100000,29
Merge,100000,72
Shell,100000,7258
Insertion,100000,42187
Bubble,100000,80039
QuickIn,100000,33
Quick1,100000,26
Quick2,100000,29
Merge,100000,69
Shell,100000,7310
Insertion,100000,42304
Bubble,100000,80157
QuickIn,100000,35
Quick1,100000,28
Quick2,100000,28
Merge,100000,70
Shell,100000,7152
Insertion,100000,42322
Bubble,100000,80178
QuickIn,100000,33
Quick1,100000,28
Quick2,100000,28
Merge,100000,69
Shell,100000,7284
Insertion,100000,42257
Bubble,100000,82120
QuickIn,100000,47
Quick1,100000,27
Quick2,100000,39
Merge,100000,128
Shell,100000,8819
Insertion,100000,46934
Bubble,100000,81825
QuickIn,100000,50
Quick1,100000,43
Quick2,100000,50
Merge,100000,117
Shell,100000,8739
Insertion,100000,49537
Bubble,100000,88994
QuickIn,100000,56
Quick1,100000,46
Quick2,100000,39
Merge,100000,103
Shell,100000,9530
Insertion,100000,52972
Bubble,100000,100539
QuickIn,100000,43
Quick1,100000,34
Quick2,100000,35
Merge,100000,84
Shell,100000,9111
Insertion,100000,53321
Bubble,100000,100918
QuickIn,100000,50
Quick1,100000,49
Quick2,100000,40
Merge,100000,109
Shell,100000,9213
Insertion,100000,50129
Bubble,100000,76695
QuickIn,100000,34
Quick1,100000,26
Quick2,100000,27
Merge,100000,71
Shell,100000,7068
Insertion,100000,40052
Bubble,100000,78453
QuickIn,100000,33
Quick1,100000,26
Quick2,100000,26
Merge,100000,65
Shell,100000,7084
Insertion,100000,40851
Bubble,100000,77000
QuickIn,100000,37
Quick1,100000,31
Quick2,100000,26
Merge,100000,64
Shell,100000,6754
Insertion,100000,41623
Bubble,100000,75928
QuickIn,100000,32
Quick1,100000,27
Quick2,100000,28
Merge,100000,66
Shell,100000,6947
Insertion,100000,39924
Bubble,100000,75858
QuickIn,100000,35
Quick1,100000,28
Quick2,100000,29
Merge,100000,71
Shell,100000,6774
Insertion,100000,39269
Bubble,100000,74948
QuickIn,100000,32
Quick1,100000,26
Quick2,100000,26
Merge,100000,64
Shell,100000,6872
Insertion,100000,39636
Bubble,100000,75352
QuickIn,100000,37
Quick1,100000,29
Quick2,100000,30
Merge,100000,72
Shell,100000,7171
Insertion,100000,40127
Bubble,100000,75166
QuickIn,100000,33
Quick1,100000,27
Quick2,100000,32
Merge,100000,72
Shell,100000,6810
Insertion,100000,39711
Bubble,100000,77951
QuickIn,100000,33
Quick1,100000,25
Quick2,100000,26
Merge,100000,65
Shell,100000,6695
Insertion,100000,40207
Bubble,100000,75806
QuickIn,100000,33
Quick1,100000,25
Quick2,100000,26
Merge,100000,64
Shell,100000,6740
Insertion,100000,39676
Bubble,100000,76060
QuickIn,100000,33
Quick1,100000,25
Quick2,100000,28
Merge,100000,66
Shell,100000,6929
Insertion,100000,40432
Bubble,100000,76704
QuickIn,100000,41
Quick1,100000,26
Quick2,100000,38
Merge,100000,85
Shell,100000,7071
Insertion,100000,41025
Bubble,100000,78154
QuickIn,100000,44
Quick1,100000,29
Quick2,100000,30
Merge,100000,76
Shell,100000,7076
Insertion,100000,39823
Bubble,100000,77114
QuickIn,100000,33
Quick1,100000,25
Quick2,100000,29
Merge,100000,65
Shell,100000,6872
Insertion,100000,40062
Bubble,100000,77089
QuickIn,100000,33
Quick1,100000,26
Quick2,100000,27
Merge,100000,76
Shell,100000,7376
Insertion,100000,40464
Bubble,100000,75255
QuickIn,100000,34
Quick1,100000,26
Quick2,100000,26
Merge,100000,64
Shell,100000,6819
Insertion,100000,40735
Bubble,100000,75203
QuickIn,500000,152
Quick1,500000,135
Quick2,500000,143
Merge,500000,336
Shell,500000,172981
Insertion,500000,1017595
Bubble,500000,1549357
QuickIn,500000,175
Quick1,500000,150
Quick2,500000,149
Merge,500000,344
Shell,500000,171630
Insertion,500000,1019235
Bubble,500000,1563642
QuickIn,500000,164
Quick1,500000,133
Quick2,500000,149
Merge,500000,370
Shell,500000,175156
Insertion,500000,1016167
Bubble,500000,1554856
QuickIn,500000,154
Quick1,500000,134
Quick2,500000,142
Merge,500000,354
Shell,500000,176769
Insertion,500000,1027694
Bubble,500000,1601533
QuickIn,500000,156
Quick1,500000,138
Quick2,500000,141
Merge,500000,351
Shell,500000,175161
Insertion,500000,1035537
Bubble,500000,1564252
QuickIn,500000,165
Quick1,500000,145
Quick2,500000,150
Merge,500000,365
Shell,500000,173469
Insertion,500000,1015250
Bubble,500000,1539184
QuickIn,500000,150
Quick1,500000,137
Quick2,500000,139
Merge,500000,336
Shell,500000,170492
Insertion,500000,1021732
Bubble,500000,1546230
QuickIn,500000,149
Quick1,500000,135
Quick2,500000,138
Merge,500000,337
Shell,500000,171702
Insertion,500000,1201070
Bubble,500000,1586012
QuickIn,500000,154
Quick1,500000,138
Quick2,500000,137
Merge,500000,351
Shell,500000,171396
Insertion,500000,1021302
Bubble,500000,1548138
QuickIn,500000,152
Quick1,500000,146
Quick2,500000,155
Merge,500000,346
Shell,500000,189329
Insertion,500000,1067869
Bubble,500000,1698576
QuickIn,500000,150
Quick1,500000,136
Quick2,500000,138
Merge,500000,378
Shell,500000,177716
Insertion,500000,1105372
Bubble,500000,1764261
QuickIn,500000,170
Quick1,500000,176
Quick2,500000,200
Merge,500000,477
Shell,500000,195008
Insertion,500000,1057298
Bubble,500000,1621220
QuickIn,500000,159
Quick1,500000,142
Quick2,500000,146
Merge,500000,382
Shell,500000,181117
Insertion,500000,973093
Bubble,500000,1467520
QuickIn,500000,147
Quick1,500000,139
Quick2,500000,136
Merge,500000,333
Shell,500000,163621
Insertion,500000,960841
Bubble,500000,1469090
QuickIn,500000,149
Quick1,500000,135
Quick2,500000,138
Merge,500000,373
Shell,500000,163975
Insertion,500000,962769
Bubble,500000,1468063
QuickIn,500000,148
Quick1,500000,134
Quick2,500000,137
Merge,500000,334
Shell,500000,165391
Insertion,500000,961231
Bubble,500000,1468075
QuickIn,500000,148
Quick1,500000,137
Quick2,500000,136
Merge,500000,334
Shell,500000,163635
Insertion,500000,960454
Bubble,500000,1467955
QuickIn,500000,148
Quick1,500000,132
Quick2,500000,136
